institution_name,grad_rate,basic,student_count,spending_per_award,full_time_pct,full_time_count,med_sat_value,aid_value,endow_value,grad_on_time_pct,pell_value,fresh_retain_value,full_time_fac_pct,flagship_binary,EndowXSpend,PellXSat,RetainXSat,AidXSat,AidXEndow
Western State College of Colorado,0.199,Baccalaureate Colleges--Arts & Sciences,2193,67866,0.852,1865,1005,5929,NA,0.22,0.314,0.684,0.725,0,NA,315.57,687.42,5958645,NA
Central Connecticut State University,0.209,Masters Colleges and Universities--larger programs,9771,64105,0.78,8543,1006,4970,4351,0.2,0.334,0.768,0.474,0,278920855,336.004,772.608,4999820,21624470
Eastern Connecticut State University,0.231,Masters Colleges and Universities--smaller programs,5179,71838,0.849,4862,1017,5238,2472,0.32,0.264,0.781,0.413,0,177583536,268.488,794.277,5327046,12948336
Southern Connecticut State University,0.222,Masters Colleges and Universities--larger programs,8257,62097,0.85,7281,921,5950,1343,0.17,0.346,0.752,0.396,0,83396271,318.666,692.592,5479950,7990850
Western Connecticut State University,0.184,Masters Colleges and Universities--medium programs,5492,81823,0.8,5044,NA,10788,NA,0.21,0.284,0.743,0.347,0,NA,NA,NA,NA,NA
Delaware State University,0.141,Masters Colleges and Universities--medium programs,3892,129813,0.92,3797,890,7655,4724,0.18,0.503,0.652,0.654,0,613236612,447.67,580.28,6812950,36162220
University of the District of Columbia,0.165,Masters Colleges and Universities--smaller programs,4712,151215,0.421,3454,NA,4636,9456,0.05,0.492,0.583,0.451,0,1429889040,NA,NA,NA,43838016
Brevard Community College,0.251,Associates--Public Rural-serving Large,16711,21975,0.355,12053,NA,3732,1337,NA,0.366,NA,0.288,0,29380575,NA,NA,NA,4989684
Broward College,0.207,Associates--Public Urban-serving Multicampus,43883,23811,0.304,30322,NA,3732,1208,NA,0.501,NA,0.245,0,28763688,NA,NA,NA,4508256
College of Central Florida,0.216,Associates--Public Rural-serving Large,8162,27092,0.373,6103,NA,6649,7699,NA,0.543,NA,0.479,0,208581308,NA,NA,NA,51190651
University of Central Florida,0.264,Research Universities--very high research activity,51333,31929,0.706,45565,1175,4450,2587,0.35,0.377,0.871,0.662,0,82600323,442.975,1023.425,5228750,11512150
Chipola College,0.284,Associates--Public 4-year Primarily Associates,2160,28134,0.436,1609,NA,4754,8895,NA,0.423,NA,0.35,0,250251930,NA,NA,NA,42286830
Daytona State College,0.277,Associates--Public 4-year Primarily Associates,14865,23363,0.414,11389,NA,3625,504,NA,0.491,NA,0.371,0,11774952,NA,NA,NA,1827000
Edison State College,0.226,Associates--Public 4-year Primarily Associates,15423,26400,0.327,10649,NA,4330,1684,NA,0.399,NA,0.251,0,44457600,NA,NA,NA,7291720
Florida A&M University,0.141,Doctoral/Research Universities,8930,80971,0.9,9654,947,7165,6827,0.11,0.644,0.815,0.802,0,552789017,609.868,771.805,6785255,48915455
Florida Atlantic University,0.254,Research Universities--high research activity,25790,40672,0.616,20736,1039,5243,7678,0.15,0.4,0.765,0.636,0,312279616,415.6,794.835,5447477,40255754
Florida State College at Jacksonville,0.266,Associates--Public 4-year Primarily Associates,28134,21724,0.328,21810,NA,3507,1728,NA,0.387,NA,0.326,0,37539072,NA,NA,NA,6060096
Florida International University,0.222,Research Universities--high research activity,39142,45065,0.663,34130,1154,4904,5533,0.2,0.581,0.835,0.64,0,249344645,670.474,963.59,5659216,27133832
Florida State University,0.278,Research Universities--very high research activity,32528,45742,0.889,31611,1212,4537,13906,0.56,0.306,0.917,0.718,0,636088252,370.872,1111.404,5498844,63091522
